Feature,Importance
Hurst,0.0914758674566617
Imp_Real_Gap,0.05290026840809674
Yield_Curve,0.04483460551510034
Oil_Deviation,0.0426710158737826
Slope_100,0.034561192272990836
HY_Spread,0.028916732356562308
Trend_200MA_Slope,0.028206238813661053
Return_12M,0.027959223818701147
GARCH_Forecast,0.027352314391149008
Dist_from_200MA,-0.025190841794983067
UMich_Sentiment,0.02217331597913421
Sectors_Above_50MA,0.016115647630781577
Slope_50,0.01602258433798717
Return_1M,-0.014942796119220907
Trend_Efficiency,0.014204253876654901
Return_3M,0.013087790388276547
Return_6M,-0.01187674389959278
USD_Trend,0.0019306493551519259
RV_Ratio,0.0015587618050316135
Put_Call_Ratio,-5.644139946204276e-32
QC_CPC_missing,0.0
QC_NYA50_missing,0.0
QC_ISM_PMI_missing,0.0
QC_NYA50_proxy,0.0
