,date,y_true,ridge_pred,resid_pred,final_pred,lambda_selected,split,fold
0,2023-07-03,0.028594597732395484,0.004443264919834978,-0.016350696,-0.01190743094353115,1.0,test,7
1,2023-07-04,0.014286078358082164,0.002661898295494871,-0.015355419,-0.012693521072056933,1.0,test,7
2,2023-07-05,0.012885582900877574,0.0027190395003681006,-0.015355419,-0.012636379867183703,1.0,test,7
3,2023-07-06,0.01626250557274053,0.0038853646223907246,-0.016314868,-0.012429503261529945,1.0,test,7
4,2023-07-07,0.0277278045070004,0.004479887853604644,-0.018838886,-0.014358998317974717,1.0,test,7
5,2023-07-10,0.020675037073596476,0.0026090235943839277,-0.017648965,-0.015039941525931624,1.0,test,7
6,2023-07-11,0.007435606244034855,-0.0010545612840040831,-0.021011002,-0.022065563645778528,1.0,test,7
7,2023-07-12,-0.0002466735348318853,-0.005704800498558402,-0.014713183,-0.02041798354394567,1.0,test,7
8,2023-07-13,-0.008697390747834021,-0.00212101095562087,-0.019768326,-0.021889336567569837,1.0,test,7
9,2023-07-14,-0.00260414445033552,-0.0027359507284029187,-0.02026364,-0.022999590938435382,1.0,test,7
10,2023-07-17,-0.017633751886107635,-0.005082050964489833,-0.015224526,-0.02030657666946973,1.0,test,7
11,2023-07-18,-0.032034968366776065,-0.010404329893181345,-0.01301577,-0.02342010024655821,1.0,test,7
12,2023-07-19,-0.04154205288513056,-0.010110882643518133,-0.013560518,-0.023671400334593935,1.0,test,7
13,2023-07-20,-0.03467643550779954,-0.007686166809279568,-0.010241122,-0.01792728879429782,1.0,test,7
14,2023-07-21,-0.028395731722695383,-0.010161909347578432,-0.01649114,-0.026653048655196573,1.0,test,7
15,2023-07-24,-0.03533675444949162,-0.009019076327382053,-0.014098923,-0.02311799904942366,1.0,test,7
16,2023-07-25,-0.027248536257319184,-0.0061778543184961565,-0.014098923,-0.020276777040537763,1.0,test,7
17,2023-07-26,-0.040877389281955154,-0.008782101204753666,0.0041710334,-0.004611067814887314,1.0,test,7
18,2023-07-27,-0.02766919003421755,-0.007173794519113357,-0.011264537,-0.018438331980215366,1.0,test,7
19,2023-07-28,-0.030990008215844377,-0.010000740261727887,-0.01388644,-0.023887179875725823,1.0,test,7
20,2023-07-31,-0.018851470901295266,-0.010107665693979695,-0.011104814,-0.02121247947089,1.0,test,7
