fold_id,train_start,train_end,test_start,test_end,n_train,n_test,rmse,mae,dir_acc,ic,decile_spread,decile_spread_tstat,decile_monotonicity,top_decile_mean,bottom_decile_mean,best_thresh_sharpe,best_thresh,best_thresh_coverage,big_up_precision,big_up_recall,big_down_precision,big_down_recall,strategy_sharpe,big_move_sharpe,n_val,val_rmse,val_mae,val_dir_acc,val_ic,val_big_up_precision,val_big_up_recall,val_big_down_precision,val_big_down_recall,tuned_threshold,tuned_val_sharpe,tuned_test_sharpe,tuned_test_return,tuned_test_hit_rate,tuned_test_trades
0,2010-01-31,2022-04-30,2023-01-31,2023-03-31,148,1,0.0031005359477428995,0.0031005359477428995,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.07750543416393378,0.07099884653095215,50.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.027052991152922517,1.9999999999999998,0.0,0.0,1.0,0
1,2010-01-31,2022-07-31,2023-04-30,2023-06-30,151,1,0.030829114727534586,0.030829114727534586,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0495415845606403,0.04417292667548638,50.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.026492603341344925,1.9999999999999998,0.0,0.0,1.0,0
2,2010-01-31,2022-10-31,2023-07-31,2023-09-30,154,1,0.027951748979823197,0.027951748979823197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.025041123385542232,0.02249881994098955,100.0,0.19999999999999998,0.6666666666666666,1.0,0.0,0.0,0.005,4.628175020873881,0.0,-0.02170875722073895,0.0,1
3,2010-01-31,2023-01-31,2023-10-31,2023-12-31,157,1,0.02731979824042481,0.02731979824042481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.03230124073527097,0.028120321756223976,75.0,1.0,0.0,0.0,0.0,0.0,0.005,4.376268027047932,0.0,-0.015926525938380953,0.0,1
4,2010-01-31,2023-04-30,2024-01-31,2024-03-31,160,1,0.0778244267517256,0.0778244267517256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.05340741802850259,0.04955560142972073,50.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.02470093654699255,1.9999999999999998,0.0,-0.04031950781102556,0.0,1
5,2010-01-31,2023-07-31,2024-04-30,2024-06-30,163,1,0.013642825146772551,0.013642825146772551,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0313580517750848,0.02619324205586742,100.0,-0.39999999999999997,0.0,0.0,0.0,0.0,0.001546942427623397,4.743689921224349,0.0,0.012109019088269335,1.0,1
6,2010-01-31,2023-10-31,2024-07-31,2024-09-30,166,1,0.0270802879600677,0.0270802879600677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.037254075024384284,0.03371136002541105,75.0,-0.7999999999999999,0.0,0.0,0.0,0.0,0.01430685163000491,2.0,0.0,-0.008923539741827025,0.0,1
7,2010-01-31,2024-01-31,2024-10-31,2024-12-31,169,1,0.04336460043058618,0.04336460043058618,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.012086678185935224,0.010107330662943075,100.0,-0.39999999999999997,0.0,0.0,0.0,0.0,0.005,9.609897282391795,0.0,0.0268564962055593,1.0,1
8,2010-01-31,2024-04-30,2025-01-31,2025-03-31,172,1,0.015265293005208942,0.015265293005208942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.029555626897854247,0.026062025958723783,50.0,0.7999999999999999,0.0,0.0,0.0,0.0,0.006810580753858452,2.867931827399255,0.0,0.0,0.0,0
9,2010-01-31,2024-07-31,2025-04-30,2025-06-30,175,1,0.008383765557260107,0.008383765557260107,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.045025395870177114,0.03783930782954303,25.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.018605565566629723,1.9999999999999998,0.0,0.0,1.0,0
10,2010-01-31,2024-10-31,2025-07-31,2025-09-30,178,1,0.024282366497177084,0.024282366497177084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.050371200320163075,0.042678173149322686,50.0,0.39999999999999997,0.5,0.5,0.0,0.0,0.03332642561719049,1.9999999999999998,0.0,0.0,0.0,0
