Feature,Importance
Month_Cos,0.09835625
Sectors_Above_50MA,0.0775715
Hurst,0.06688211
Dist_from_200MA,0.061226033
Month_Sin,0.058013983
UMich_Sentiment_Chg,0.054316457
Return_12M_Z,0.050269295
Trend_200MA_Slope,0.047545563
Return_6M_Z,0.043403096
Slope_50,0.043343063
Oil_Deviation_Chg,0.042732798
Slope_100,0.04122537
Breadth_Regime,0.039594214
Return_3M_Z,0.03950478
USD_Trend_Chg,0.039018508
GARCH_Forecast,0.03629885
Imp_Real_Gap,0.033267133
Yield_Curve_Chg,0.029032186
Trend_Efficiency,0.024634397
Return_1M,0.020974012
Vol_Trend_Interact,0.018435288
HY_Spread_Diff,0.017600171
Breadth_Vol_Interact,0.010658384
Breadth_Thrust,0.006096566
