,missing_pct,zero_pct,min,max
SPY,0.021074815595363543,0.0,50.09217071533203,689.1699829101562
^VIX,0.021074815595363543,0.0,9.140000343322754,82.69000244140625
CL=F,0.021074815595363543,0.0,-37.630001068115234,145.2899932861328
DX-Y.NYB,0.021074815595363543,0.0,71.33000183105469,114.11000061035156
HYG,0.021074815595363543,0.0,22.421327590942383,80.75
SHY,0.021074815595363543,0.0,62.45594787597656,82.91999816894531
^CPC,0.0,0.0,0.7,0.7
^NYA50,0.0,98.69336143308746,0.0,100.0
XLK,0.021074815595363543,0.0,5.213940143585205,152.06500244140625
XLF,0.021074815595363543,0.0,3.7122790813446045,54.9900016784668
XLV,0.021074815595363543,0.0,16.391836166381836,158.77000427246094
XLY,0.021074815595363543,0.0,6.515592098236084,121.7300033569336
XLP,0.021074815595363543,0.0,12.349778175354004,82.65283203125
XLE,0.021074815595363543,0.0,9.385007858276367,47.06929397583008
XLI,0.021074815595363543,0.0,11.10329532623291,157.72999572753906
XLB,0.021074815595363543,0.0,6.31353759765625,47.859283447265625
XLU,0.021074815595363543,0.0,6.3096699714660645,46.45000076293945
T10Y2Y,0.021074815595363543,0.23182297154899895,-1.08,2.91
ISM_PMI,100.0,0.0,,
UMICH_SENT,0.4636459430979979,0.0,50.0,101.4
QC_CPC_missing,0.0,0.0,1.0,1.0
QC_NYA50_missing,0.0,0.0,1.0,1.0
QC_ISM_PMI_missing,0.0,0.0,1.0,1.0
QC_NYA50_proxy,0.0,0.0,1.0,1.0
